source,evmTokenAddress,evmReceiverAddress,formattedAmount,amount,sudtArgs,burnTxHash,transferTxHash
Ethereum,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xabaf75a934e8b4da85db7c79a9e8c5a0022a1660,3.911461 USDT|eth,3911461,0x1b89ae72b96c4f02fa7667ab46febcedf9b495737752176303ddd215d66a615a,0xdd3ff65bfc737d1a6bbc4c5b014f7040c33e3f68f865e69c8e9994323d6ee429,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.3 ETH|eth,300000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.5 ETH|eth,500000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.1 ETH|eth,100000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.2 ETH|eth,200000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.2 ETH|eth,200000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.1 ETH|eth,100000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,1.029 ETH|eth,1029000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.3 ETH|eth,300000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.1882 ETH|eth,188200000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,
